origin,AggregateType,staked_length,unstaked_length,staked_coverage,overall_coverage,fully_connected_coverage,possible_peak_connected_coverage,staked_fully_connected_coverage,staked_possible_peak_connected_coverage
Va1idLRt,Mean,1535,485,0.859,0.577,0.205,0.375,0.401,0.735
Va1idLRt,Median,1535,488,0.859,0.577,0.256,0.395,0.501,0.774
5Us18hLZ,Mean,1529,494,0.855,0.578,0.232,0.368,0.455,0.721
5Us18hLZ,Median,1532,500,0.857,0.581,0.249,0.408,0.487,0.799
C1ocKDYM,Mean,1537,491,0.860,0.580,0.234,0.400,0.459,0.782
C1ocKDYM,Median,1536,496,0.859,0.579,0.247,0.408,0.484,0.799
CVvaeDPR,Mean,1531,488,0.857,0.577,0.238,0.382,0.466,0.747
CVvaeDPR,Median,1539,489,0.861,0.578,0.244,0.390,0.478,0.763
AaapDdoc,Mean,1536,502,0.859,0.582,0.253,0.381,0.496,0.747
AaapDdoc,Median,1537,508,0.860,0.584,0.256,0.405,0.502,0.793
Fire6ZGP,Mean,1528,500,0.855,0.580,0.243,0.362,0.475,0.709
Fire6ZGP,Median,1532,511,0.857,0.579,0.238,0.377,0.466,0.738
mint13XH,Mean,1536,490,0.859,0.579,0.222,0.368,0.435,0.720
mint13XH,Median,1539,501,0.861,0.583,0.224,0.387,0.438,0.758
Frog1Fks,Mean,1476,474,0.826,0.557,0.134,0.247,0.262,0.483
Frog1Fks,Median,1474,468,0.824,0.560,0.141,0.259,0.276,0.507
Diman2Gp,Mean,1540,506,0.861,0.585,0.246,0.391,0.482,0.766
Diman2Gp,Median,1543,513,0.863,0.584,0.238,0.394,0.466,0.772
7cVfgArC,Mean,1405,465,0.786,0.534,0.248,0.351,0.486,0.688
7cVfgArC,Median,1539,502,0.861,0.583,0.282,0.394,0.551,0.772
9bkyxgYx,Mean,1534,494,0.858,0.579,0.257,0.378,0.504,0.739
9bkyxgYx,Median,1538,495,0.860,0.582,0.277,0.416,0.543,0.815
HaLanfo9,Mean,1539,500,0.861,0.583,0.255,0.393,0.500,0.770
HaLanfo9,Median,1543,502,0.863,0.584,0.264,0.404,0.516,0.791
PUmpKiNn,Mean,1531,496,0.857,0.579,0.286,0.399,0.559,0.781
PUmpKiNn,Median,1535,500,0.859,0.582,0.308,0.402,0.603,0.787
2fFev6gB,Mean,1531,494,0.856,0.579,0.248,0.391,0.486,0.766
2fFev6gB,Median,1533,492,0.857,0.577,0.268,0.413,0.524,0.809
GmCxjmjK,Mean,1535,482,0.859,0.576,0.249,0.406,0.488,0.795
GmCxjmjK,Median,1536,491,0.859,0.578,0.263,0.411,0.516,0.805
8uJiHDJ1,Mean,1536,483,0.859,0.577,0.272,0.407,0.533,0.797
8uJiHDJ1,Median,1540,486,0.862,0.580,0.260,0.411,0.509,0.804
STaKesuX,Mean,1540,492,0.862,0.581,0.216,0.376,0.423,0.737
STaKesuX,Median,1541,490,0.862,0.581,0.230,0.396,0.450,0.775
7gPpBfH6,Mean,1536,476,0.859,0.575,0.248,0.377,0.486,0.738
7gPpBfH6,Median,1531,478,0.857,0.572,0.244,0.398,0.477,0.779
AicQr2zC,Mean,1534,492,0.858,0.579,0.269,0.388,0.527,0.759
AicQr2zC,Median,1536,496,0.859,0.581,0.288,0.406,0.565,0.796
CwyVpfmf,Mean,1531,488,0.856,0.577,0.218,0.352,0.428,0.688
CwyVpfmf,Median,1537,492,0.860,0.578,0.237,0.363,0.463,0.711
StepLJgo,Mean,1533,515,0.857,0.585,0.294,0.395,0.575,0.774
StepLJgo,Median,1538,514,0.860,0.587,0.309,0.417,0.605,0.817
9fa5wcqn,Mean,1540,492,0.861,0.581,0.208,0.357,0.408,0.699
9fa5wcqn,Median,1540,501,0.861,0.582,0.203,0.387,0.397,0.758
FWwwP9tN,Mean,1542,494,0.863,0.582,0.231,0.398,0.452,0.779
FWwwP9tN,Median,1540,497,0.861,0.582,0.242,0.398,0.473,0.779
9jxgosAf,Mean,1529,487,0.856,0.576,0.232,0.363,0.454,0.712
9jxgosAf,Median,1531,486,0.857,0.578,0.232,0.389,0.454,0.762
58KprHKF,Mean,1505,484,0.842,0.568,0.186,0.296,0.365,0.580
58KprHKF,Median,1505,475,0.842,0.564,0.202,0.310,0.395,0.607
3gGnnwaC,Mean,1488,463,0.832,0.557,0.183,0.274,0.359,0.536
3gGnnwaC,Median,1490,462,0.833,0.558,0.181,0.290,0.353,0.568
FugJZepe,Mean,1540,498,0.862,0.582,0.223,0.359,0.437,0.703
FugJZepe,Median,1543,502,0.863,0.584,0.204,0.387,0.399,0.757
juigBT2q,Mean,1536,497,0.859,0.581,0.220,0.374,0.431,0.732
juigBT2q,Median,1536,499,0.859,0.582,0.249,0.394,0.487,0.772
57i31UEy,Mean,1532,503,0.857,0.582,0.225,0.368,0.441,0.720
57i31UEy,Median,1537,505,0.860,0.583,0.235,0.390,0.460,0.763
CAo1dCGY,Mean,1538,478,0.860,0.576,0.248,0.391,0.485,0.766
CAo1dCGY,Median,1543,487,0.863,0.578,0.271,0.410,0.531,0.804
3B2mGaZo,Mean,1536,487,0.859,0.578,0.245,0.390,0.480,0.764
3B2mGaZo,Median,1540,499,0.861,0.579,0.269,0.396,0.526,0.775
CjmXSapt,Mean,1539,492,0.861,0.580,0.221,0.375,0.432,0.734
CjmXSapt,Median,1542,498,0.862,0.582,0.221,0.375,0.432,0.735
8zu5yVC3,Mean,1536,494,0.859,0.580,0.249,0.356,0.487,0.697
8zu5yVC3,Median,1535,502,0.859,0.582,0.273,0.377,0.536,0.739
b8ThsbsA,Mean,1537,485,0.860,0.578,0.239,0.363,0.468,0.711
b8ThsbsA,Median,1540,486,0.861,0.580,0.272,0.406,0.532,0.796
8pyp3vfV,Mean,1529,494,0.856,0.578,0.240,0.369,0.470,0.723
8pyp3vfV,Median,1533,493,0.857,0.579,0.245,0.396,0.479,0.776
G72oBA9c,Mean,1535,491,0.859,0.579,0.235,0.391,0.459,0.765
G72oBA9c,Median,1535,494,0.859,0.578,0.245,0.407,0.480,0.797
fishfish,Mean,1533,496,0.858,0.580,0.250,0.364,0.490,0.712
fishfish,Median,1539,495,0.861,0.579,0.278,0.385,0.544,0.753
Fc6NNdS2,Mean,1536,489,0.859,0.579,0.225,0.358,0.441,0.701
Fc6NNdS2,Median,1543,494,0.863,0.582,0.207,0.379,0.406,0.742
3RXKQBRv,Mean,1537,497,0.860,0.581,0.244,0.377,0.477,0.738
3RXKQBRv,Median,1539,491,0.861,0.579,0.276,0.400,0.541,0.784
23SUe5fz,Mean,1534,491,0.858,0.579,0.225,0.370,0.440,0.724
23SUe5fz,Median,1535,490,0.859,0.579,0.240,0.382,0.469,0.749
EdGevanA,Mean,1539,479,0.861,0.577,0.273,0.410,0.534,0.803
EdGevanA,Median,1540,475,0.861,0.574,0.292,0.415,0.573,0.813
BFMufPp4,Mean,1543,495,0.863,0.582,0.249,0.381,0.488,0.746
BFMufPp4,Median,1541,497,0.862,0.581,0.245,0.392,0.480,0.767
BXAxLMMM,Mean,1541,496,0.862,0.582,0.230,0.378,0.450,0.739
BXAxLMMM,Median,1540,502,0.861,0.582,0.217,0.386,0.425,0.757
FSCJwu7L,Mean,1535,483,0.859,0.577,0.232,0.382,0.454,0.748
FSCJwu7L,Median,1539,474,0.861,0.575,0.240,0.413,0.469,0.809
BitokuDH,Mean,1531,493,0.857,0.578,0.247,0.387,0.485,0.757
BitokuDH,Median,1536,490,0.859,0.581,0.247,0.390,0.483,0.765
7GkMBmtr,Mean,1536,488,0.859,0.578,0.240,0.379,0.469,0.743
7GkMBmtr,Median,1538,492,0.860,0.582,0.247,0.406,0.483,0.794
RNXnAJV1,Mean,1531,490,0.857,0.578,0.218,0.368,0.427,0.721
RNXnAJV1,Median,1537,491,0.860,0.579,0.234,0.389,0.457,0.761
AoUwfPui,Mean,1535,497,0.859,0.581,0.255,0.395,0.499,0.774
AoUwfPui,Median,1539,503,0.861,0.584,0.283,0.409,0.554,0.801
4QNekaDq,Mean,1532,485,0.857,0.576,0.234,0.367,0.459,0.719
4QNekaDq,Median,1534,486,0.858,0.579,0.259,0.401,0.507,0.785
HPCSEfKw,Mean,1536,491,0.859,0.579,0.248,0.373,0.486,0.731
HPCSEfKw,Median,1536,477,0.859,0.577,0.278,0.413,0.545,0.809
EReBoRDj,Mean,1538,494,0.860,0.581,0.236,0.378,0.462,0.741
EReBoRDj,Median,1540,497,0.861,0.583,0.250,0.405,0.489,0.793
