origin,AggregateType,staked_length,unstaked_length,staked_coverage,overall_coverage,fully_connected_coverage,possible_peak_connected_coverage,staked_fully_connected_coverage,staked_possible_peak_connected_coverage
9B7iADCG,Median,1498,466,0.838,0.558,0.177,0.312,0.346,0.610
A6ZmvWcK,Mean,1527,490,0.855,0.577,0.234,0.354,0.459,0.693
A6ZmvWcK,Median,1539,488,0.861,0.576,0.249,0.394,0.488,0.772
J2obR2DK,Mean,1539,491,0.861,0.580,0.264,0.390,0.517,0.763
J2obR2DK,Median,1541,507,0.862,0.585,0.265,0.396,0.518,0.776
A7o83UHe,Mean,1536,495,0.859,0.580,0.270,0.383,0.529,0.750
A7o83UHe,Median,1536,490,0.859,0.578,0.264,0.381,0.518,0.745
C3NxKEWd,Mean,1540,506,0.862,0.585,0.233,0.386,0.457,0.755
C3NxKEWd,Median,1542,513,0.862,0.587,0.264,0.410,0.517,0.803
EDoebfhR,Mean,1484,469,0.830,0.558,0.201,0.300,0.393,0.586
EDoebfhR,Median,1486,469,0.831,0.558,0.221,0.304,0.432,0.596
G35uLP74,Mean,1538,501,0.861,0.583,0.215,0.356,0.421,0.696
G35uLP74,Median,1537,504,0.860,0.585,0.208,0.397,0.408,0.777
4fBRoJoz,Mean,1530,506,0.856,0.582,0.258,0.389,0.506,0.762
4fBRoJoz,Median,1530,509,0.856,0.582,0.256,0.397,0.502,0.777
7QGeaLDA,Mean,1497,457,0.838,0.559,0.197,0.308,0.385,0.603
7QGeaLDA,Median,1500,461,0.839,0.559,0.205,0.313,0.402,0.614
3qmEGZpE,Mean,1534,499,0.858,0.581,0.249,0.401,0.488,0.786
3qmEGZpE,Median,1536,510,0.859,0.585,0.272,0.414,0.533,0.810
96XWbKem,Mean,1537,498,0.860,0.581,0.273,0.388,0.534,0.759
96XWbKem,Median,1540,491,0.861,0.580,0.273,0.404,0.535,0.791
ChB6C6dm,Mean,1524,486,0.853,0.574,0.265,0.383,0.519,0.750
ChB6C6dm,Median,1535,486,0.859,0.578,0.279,0.392,0.547,0.767
34Eegy89,Mean,1535,494,0.859,0.580,0.255,0.395,0.500,0.774
34Eegy89,Median,1537,491,0.860,0.578,0.254,0.395,0.498,0.773
6zAsEYWb,Mean,1529,486,0.855,0.576,0.250,0.400,0.489,0.782
6zAsEYWb,Median,1533,482,0.857,0.575,0.264,0.414,0.518,0.810
HS8DF8wP,Mean,1368,445,0.765,0.518,0.221,0.316,0.432,0.618
HS8DF8wP,Median,1538,500,0.860,0.583,0.268,0.386,0.526,0.756
6WqzRNJN,Mean,1526,497,0.854,0.578,0.253,0.378,0.496,0.741
6WqzRNJN,Median,1532,505,0.857,0.576,0.261,0.406,0.512,0.795
HnvAnkcn,Mean,1538,492,0.860,0.580,0.280,0.403,0.549,0.789
HnvAnkcn,Median,1538,495,0.860,0.579,0.272,0.405,0.533,0.794
3YRyKjnF,Mean,1531,498,0.857,0.580,0.238,0.388,0.465,0.760
3YRyKjnF,Median,1534,498,0.858,0.579,0.275,0.415,0.538,0.812
9QA1fzbA,Mean,1531,494,0.857,0.579,0.257,0.367,0.502,0.718
9QA1fzbA,Median,1534,494,0.858,0.581,0.268,0.390,0.526,0.764
Bkucd9XT,Mean,1541,479,0.862,0.577,0.232,0.364,0.454,0.712
Bkucd9XT,Median,1542,476,0.863,0.577,0.230,0.399,0.451,0.782
9cDdzkri,Mean,1536,479,0.859,0.576,0.257,0.381,0.503,0.746
9cDdzkri,Median,1536,486,0.859,0.578,0.266,0.376,0.521,0.737
3n7mZaeh,Mean,1528,488,0.855,0.576,0.208,0.338,0.407,0.662
3n7mZaeh,Median,1539,488,0.861,0.578,0.205,0.381,0.401,0.746
N2ARmakU,Mean,1536,497,0.859,0.581,0.218,0.356,0.427,0.698
N2ARmakU,Median,1537,493,0.860,0.578,0.203,0.380,0.397,0.744
58T8cF98,Mean,1532,498,0.857,0.580,0.231,0.365,0.453,0.715
58T8cF98,Median,1536,502,0.859,0.583,0.240,0.401,0.470,0.785
41iM1ZT5,Mean,1530,500,0.856,0.580,0.245,0.377,0.479,0.738
41iM1ZT5,Median,1535,506,0.859,0.582,0.243,0.392,0.475,0.768
CteW9gxQ,Mean,1493,457,0.835,0.557,0.166,0.272,0.325,0.533
CteW9gxQ,Median,1493,451,0.835,0.556,0.157,0.288,0.308,0.565
A24hx1Tn,Mean,1537,490,0.860,0.579,0.246,0.385,0.481,0.755
A24hx1Tn,Median,1538,491,0.860,0.579,0.276,0.405,0.541,0.793
9QqwhT5x,Mean,1439,438,0.805,0.536,0.252,0.363,0.492,0.711
9QqwhT5x,Median,1529,466,0.855,0.569,0.280,0.389,0.548,0.763
4ZToBgve,Mean,1525,495,0.853,0.577,0.234,0.369,0.458,0.722
4ZToBgve,Median,1531,498,0.856,0.576,0.229,0.374,0.449,0.733
indMGAW9,Mean,1534,492,0.858,0.579,0.276,0.395,0.540,0.774
indMGAW9,Median,1537,478,0.860,0.577,0.283,0.409,0.554,0.801
9xkVy66X,Mean,1494,470,0.836,0.561,0.171,0.296,0.336,0.579
9xkVy66X,Median,1496,479,0.837,0.564,0.147,0.309,0.287,0.606
4vXCtYfP,Mean,1533,496,0.858,0.580,0.252,0.370,0.494,0.724
4vXCtYfP,Median,1539,502,0.861,0.582,0.277,0.384,0.542,0.752
9oJDQSVw,Mean,1519,476,0.850,0.570,0.239,0.347,0.468,0.679
9oJDQSVw,Median,1531,476,0.856,0.570,0.258,0.379,0.504,0.743
DRCEj2Qa,Mean,1531,475,0.856,0.573,0.238,0.376,0.465,0.736
DRCEj2Qa,Median,1536,482,0.859,0.578,0.254,0.401,0.497,0.786
9osBexxQ,Mean,1538,488,0.861,0.579,0.266,0.402,0.521,0.788
9osBexxQ,Median,1541,480,0.862,0.579,0.291,0.413,0.569,0.810
4Xz17Lsc,Mean,1535,488,0.859,0.578,0.241,0.369,0.472,0.722
4Xz17Lsc,Median,1538,489,0.860,0.580,0.239,0.403,0.468,0.789
2uxEHizF,Mean,1536,490,0.859,0.579,0.222,0.390,0.435,0.763
2uxEHizF,Median,1536,500,0.859,0.582,0.221,0.388,0.433,0.760
4X8km6Xm,Mean,1538,496,0.861,0.581,0.224,0.345,0.438,0.676
4X8km6Xm,Median,1539,500,0.861,0.582,0.251,0.364,0.492,0.714
6pEtDovp,Mean,1537,479,0.860,0.576,0.230,0.395,0.451,0.773
6pEtDovp,Median,1542,474,0.862,0.574,0.225,0.402,0.441,0.788
EGEWM1gc,Mean,1527,506,0.854,0.581,0.190,0.332,0.372,0.650
EGEWM1gc,Median,1531,505,0.856,0.583,0.195,0.346,0.382,0.677
D96V9AW8,Mean,1532,486,0.857,0.577,0.244,0.385,0.478,0.754
D96V9AW8,Median,1534,485,0.858,0.575,0.270,0.397,0.530,0.777
pJduweEK,Mean,1538,495,0.860,0.581,0.205,0.358,0.401,0.700
pJduweEK,Median,1537,496,0.860,0.582,0.215,0.373,0.420,0.731
3CSTv2qS,Mean,1534,499,0.858,0.581,0.199,0.366,0.390,0.716
3CSTv2qS,Median,1538,504,0.860,0.584,0.197,0.402,0.385,0.787
D8kuk3qE,Mean,1537,495,0.860,0.581,0.244,0.384,0.477,0.751
D8kuk3qE,Median,1537,502,0.860,0.582,0.242,0.397,0.473,0.778
GBuP6xK2,Mean,1534,487,0.858,0.577,0.222,0.374,0.435,0.732
GBuP6xK2,Median,1537,487,0.860,0.578,0.227,0.405,0.445,0.793
A23LfQn6,Mean,1539,487,0.861,0.579,0.247,0.365,0.484,0.715
A23LfQn6,Median,1541,481,0.862,0.575,0.272,0.394,0.532,0.772
3ARtLeVB,Mean,1530,494,0.856,0.578,0.234,0.345,0.458,0.676
3ARtLeVB,Median,1535,498,0.859,0.580,0.253,0.392,0.495,0.768
DaHuNTwB,Mean,1539,497,0.861,0.582,0.229,0.399,0.448,0.782
DaHuNTwB,Median,1537,491,0.860,0.579,0.234,0.408,0.459,0.798
CKwRED4N,Mean,1541,510,0.862,0.586,0.279,0.395,0.545,0.774
CKwRED4N,Median,1539,516,0.861,0.588,0.291,0.404,0.570,0.790
3fHDpgV7,Mean,1530,473,0.856,0.573,0.177,0.344,0.347,0.673
3fHDpgV7,Median,1533,469,0.858,0.575,0.149,0.344,0.292,0.673
EQhTjikb,Mean,1530,479,0.856,0.574,0.208,0.359,0.408,0.702
EQhTjikb,Median,1532,477,0.857,0.576,0.207,0.380,0.405,0.744
85yWeD3e,Mean,1535,491,0.859,0.579,0.260,0.401,0.510,0.786
85yWeD3e,Median,1534,492,0.858,0.578,0.286,0.414,0.559,0.810
EZqPuc58,Mean,1538,495,0.861,0.581,0.248,0.371,0.485,0.726
EZqPuc58,Median,1538,495,0.860,0.580,0.263,0.401,0.515,0.784
Fz6BL7pe,Mean,1531,487,0.856,0.577,0.244,0.370,0.477,0.724
Fz6BL7pe,Median,1531,493,0.856,0.578,0.234,0.387,0.458,0.758
7pKTNTV6,Mean,1533,490,0.857,0.578,0.208,0.353,0.406,0.692
7pKTNTV6,Median,1538,495,0.860,0.581,0.193,0.365,0.378,0.714
FzqTJKVs,Mean,1537,494,0.860,0.580,0.257,0.403,0.504,0.789
FzqTJKVs,Median,1533,499,0.858,0.580,0.259,0.407,0.507,0.796
FidrVxdx,Mean,1536,493,0.859,0.580,0.290,0.397,0.567,0.778
FidrVxdx,Median,1538,492,0.860,0.580,0.294,0.400,0.577,0.784
5ZjxMYBb,Mean,1534,491,0.858,0.579,0.230,0.364,0.449,0.712
5ZjxMYBb,Median,1538,488,0.860,0.579,0.241,0.382,0.472,0.749
9U4WqNGV,Mean,1532,498,0.857,0.580,0.255,0.365,0.499,0.715
9U4WqNGV,Median,1536,493,0.859,0.579,0.237,0.392,0.464,0.768
43Am3PKF,Mean,1538,494,0.860,0.581,0.293,0.400,0.573,0.784
43Am3PKF,Median,1538,497,0.860,0.579,0.288,0.401,0.564,0.784
AWqkGtq9,Mean,1528,486,0.855,0.576,0.290,0.381,0.569,0.746
AWqkGtq9,Median,1529,490,0.855,0.576,0.302,0.406,0.592,0.795
3LKjD9Cb,Mean,1529,488,0.856,0.576,0.238,0.362,0.466,0.708
3LKjD9Cb,Median,1537,492,0.860,0.578,0.262,0.402,0.513,0.788
3Uwkpd9Z,Mean,1533,501,0.858,0.581,0.260,0.385,0.509,0.754
3Uwkpd9Z,Median,1535,502,0.859,0.582,0.254,0.403,0.498,0.789
Hk18BQcm,Mean,1533,508,0.858,0.583,0.251,0.386,0.491,0.756
Hk18BQcm,Median,1536,506,0.859,0.583,0.256,0.409,0.502,0.802
FU8F2V8y,Mean,1531,485,0.857,0.576,0.245,0.368,0.479,0.720
FU8F2V8y,Median,1534,485,0.858,0.575,0.262,0.403,0.513,0.789
HtBxhjG3,Mean,1489,457,0.833,0.556,0.187,0.295,0.366,0.579
HtBxhjG3,Median,1489,463,0.833,0.557,0.185,0.271,0.362,0.531
DrifTrN9,Mean,1538,495,0.861,0.581,0.224,0.386,0.439,0.757
DrifTrN9,Median,1539,496,0.861,0.579,0.215,0.402,0.422,0.788
ungM4faf,Mean,1527,481,0.854,0.574,0.235,0.374,0.460,0.732
ungM4faf,Median,1533,476,0.857,0.576,0.288,0.404,0.563,0.790
BT9ZFvsD,Mean,1535,495,0.859,0.580,0.258,0.387,0.506,0.757
BT9ZFvsD,Median,1538,486,0.860,0.579,0.265,0.395,0.518,0.774
BNt8eejY,Mean,1538,502,0.860,0.583,0.277,0.394,0.541,0.771
BNt8eejY,Median,1537,504,0.860,0.584,0.307,0.400,0.601,0.782
HwDqYfPn,Mean,1536,475,0.859,0.575,0.259,0.387,0.507,0.759
HwDqYfPn,Median,1537,492,0.860,0.580,0.290,0.401,0.568,0.786
5N9r2ne7,Mean,1532,497,0.857,0.580,0.248,0.378,0.486,0.740
5N9r2ne7,Median,1535,496,0.859,0.578,0.250,0.405,0.490,0.794
3Q8GcTR6,Mean,1493,482,0.835,0.565,0.190,0.294,0.373,0.575
3Q8GcTR6,Median,1493,479,0.835,0.564,0.178,0.278,0.349,0.544
3W3NxpDq,Mean,1534,497,0.858,0.580,0.226,0.349,0.442,0.684
3W3NxpDq,Median,1535,499,0.859,0.581,0.224,0.371,0.439,0.727
8Ua6QwcS,Mean,1538,488,0.861,0.579,0.268,0.381,0.526,0.746
8Ua6QwcS,Median,1541,495,0.862,0.582,0.282,0.393,0.551,0.770
EDzSBtJ7,Mean,1445,431,0.809,0.536,0.251,0.378,0.491,0.741
EDzSBtJ7,Median,1538,486,0.860,0.575,0.280,0.418,0.548,0.819
2VpzB3eU,Mean,1531,487,0.857,0.577,0.265,0.406,0.519,0.795
2VpzB3eU,Median,1533,498,0.857,0.580,0.275,0.402,0.539,0.787
Av8EnYrP,Mean,1537,494,0.860,0.580,0.297,0.404,0.582,0.791
Av8EnYrP,Median,1538,492,0.860,0.580,0.285,0.417,0.558,0.817
HwaKxcFV,Mean,1530,486,0.856,0.576,0.247,0.387,0.483,0.757
HwaKxcFV,Median,1536,497,0.859,0.580,0.248,0.402,0.485,0.787
BNEYUi39,Mean,1532,490,0.857,0.578,0.256,0.363,0.500,0.711
BNEYUi39,Median,1536,489,0.859,0.581,0.275,0.394,0.538,0.772
GcSQc4it,Mean,1526,494,0.853,0.577,0.250,0.393,0.489,0.770
GcSQc4it,Median,1526,497,0.853,0.580,0.262,0.403,0.513,0.789
4Wa8jP3T,Mean,1534,503,0.858,0.582,0.235,0.382,0.459,0.749
4Wa8jP3T,Median,1537,503,0.860,0.584,0.238,0.395,0.467,0.774
5iSuYrTc,Mean,1530,490,0.856,0.577,0.240,0.378,0.470,0.740
5iSuYrTc,Median,1534,489,0.858,0.575,0.269,0.412,0.526,0.807
3VMSzLTL,Mean,1532,496,0.857,0.580,0.241,0.381,0.473,0.747
3VMSzLTL,Median,1533,488,0.857,0.576,0.278,0.414,0.545,0.811
AccoZSbu,Mean,1529,475,0.855,0.573,0.206,0.353,0.403,0.691
AccoZSbu,Median,1527,486,0.854,0.573,0.161,0.392,0.316,0.768
4co78iUY,Mean,1533,490,0.857,0.578,0.275,0.394,0.539,0.771
4co78iUY,Median,1538,491,0.860,0.578,0.262,0.408,0.513,0.798
6czw7KuN,Mean,1534,494,0.858,0.580,0.228,0.380,0.446,0.744
6czw7KuN,Median,1538,495,0.860,0.581,0.242,0.400,0.473,0.782
2nHwBDwq,Mean,1486,458,0.831,0.556,0.238,0.370,0.466,0.724
2nHwBDwq,Median,1535,484,0.859,0.577,0.234,0.404,0.458,0.792
4NJni8eC,Mean,1532,482,0.857,0.576,0.232,0.369,0.455,0.722
4NJni8eC,Median,1539,476,0.861,0.574,0.252,0.404,0.493,0.790
3Ws2kxmh,Mean,1531,487,0.857,0.577,0.255,0.369,0.499,0.723
3Ws2kxmh,Median,1533,489,0.858,0.577,0.257,0.393,0.503,0.770
J1XPKDSb,Mean,1537,500,0.860,0.582,0.228,0.392,0.447,0.768
J1XPKDSb,Median,1539,501,0.861,0.582,0.201,0.409,0.393,0.801
Garx8JMp,Mean,1531,497,0.857,0.580,0.274,0.396,0.536,0.776
Garx8JMp,Median,1535,495,0.859,0.579,0.291,0.407,0.569,0.797
664Lpj7P,Mean,1535,491,0.859,0.579,0.258,0.364,0.505,0.713
664Lpj7P,Median,1534,492,0.858,0.579,0.271,0.377,0.531,0.739
HzNwDXps,Mean,1535,502,0.859,0.582,0.228,0.357,0.447,0.699
HzNwDXps,Median,1537,498,0.860,0.582,0.222,0.353,0.434,0.691
GUSc6bVe,Mean,1529,477,0.855,0.573,0.264,0.390,0.516,0.763
GUSc6bVe,Median,1534,476,0.858,0.576,0.272,0.400,0.532,0.784
DkbZqCJY,Mean,1537,490,0.860,0.579,0.251,0.390,0.491,0.763
DkbZqCJY,Median,1538,487,0.860,0.580,0.263,0.397,0.515,0.778
66REU6XV,Mean,1531,481,0.857,0.575,0.272,0.398,0.532,0.779
66REU6XV,Median,1537,488,0.860,0.572,0.272,0.412,0.532,0.806
5JQ3zhHq,Mean,1540,489,0.861,0.580,0.252,0.382,0.493,0.748
5JQ3zhHq,Median,1539,487,0.861,0.578,0.257,0.396,0.504,0.776
iaMEtJ38,Mean,1491,471,0.834,0.561,0.184,0.277,0.360,0.543
iaMEtJ38,Median,1493,474,0.835,0.559,0.195,0.282,0.381,0.553
AFZpadQL,Mean,1529,479,0.855,0.574,0.231,0.361,0.452,0.707
AFZpadQL,Median,1531,482,0.856,0.575,0.218,0.378,0.427,0.740
4ZeGdzfA,Mean,1525,492,0.853,0.576,0.185,0.345,0.361,0.675
4ZeGdzfA,Median,1538,499,0.860,0.583,0.213,0.392,0.417,0.768
AmhQFcGv,Mean,1537,492,0.860,0.580,0.243,0.368,0.476,0.721
AmhQFcGv,Median,1540,503,0.861,0.583,0.280,0.397,0.549,0.777
G8iCkG5Q,Mean,1534,496,0.858,0.580,0.209,0.380,0.409,0.745
G8iCkG5Q,Median,1536,502,0.859,0.581,0.216,0.404,0.423,0.791
AVTWxUav,Mean,1534,495,0.858,0.580,0.256,0.384,0.501,0.753
AVTWxUav,Median,1537,502,0.860,0.582,0.268,0.403,0.524,0.789
swiftqGF,Mean,1524,483,0.853,0.573,0.253,0.384,0.495,0.751
swiftqGF,Median,1531,488,0.857,0.577,0.267,0.398,0.523,0.779
2Eq6YD8P,Mean,1532,490,0.857,0.578,0.253,0.386,0.495,0.755
2Eq6YD8P,Median,1535,493,0.859,0.579,0.266,0.409,0.521,0.801
3VeGAcbX,Mean,1532,486,0.857,0.577,0.266,0.398,0.520,0.779
3VeGAcbX,Median,1537,491,0.860,0.579,0.271,0.409,0.530,0.801
13cm6z7a,Mean,1531,492,0.856,0.578,0.228,0.380,0.446,0.745
13cm6z7a,Median,1537,492,0.860,0.580,0.254,0.397,0.498,0.777
FfEvhcbC,Mean,1537,485,0.860,0.578,0.282,0.411,0.552,0.805
FfEvhcbC,Median,1534,479,0.858,0.574,0.307,0.416,0.602,0.814
F5ERVawf,Mean,1532,496,0.857,0.580,0.267,0.387,0.522,0.757
F5ERVawf,Median,1539,496,0.861,0.583,0.271,0.398,0.532,0.780
TXmGK1A7,Mean,1530,491,0.856,0.578,0.263,0.401,0.516,0.785
TXmGK1A7,Median,1534,485,0.858,0.579,0.261,0.405,0.512,0.793
9Yb1epzj,Mean,1538,495,0.860,0.581,0.260,0.399,0.509,0.781
9Yb1epzj,Median,1536,497,0.859,0.581,0.257,0.406,0.503,0.795
HJVsiUVv,Mean,1535,489,0.859,0.579,0.252,0.391,0.493,0.767
HJVsiUVv,Median,1540,492,0.861,0.578,0.242,0.405,0.474,0.793
9B5hFQzw,Mean,1525,482,0.853,0.573,0.238,0.348,0.465,0.681
9B5hFQzw,Median,1524,478,0.853,0.568,0.215,0.358,0.421,0.701
RUSHpmG4,Mean,1534,496,0.858,0.580,0.277,0.393,0.543,0.769
RUSHpmG4,Median,1533,502,0.858,0.581,0.298,0.400,0.584,0.783
3CKKAoVi,Mean,1534,483,0.858,0.576,0.259,0.390,0.506,0.764
3CKKAoVi,Median,1535,474,0.859,0.575,0.239,0.406,0.468,0.794
4guS5XP2,Mean,1532,501,0.857,0.581,0.274,0.383,0.537,0.750
4guS5XP2,Median,1537,497,0.860,0.580,0.295,0.407,0.577,0.797
BhcJRCZj,Mean,1532,488,0.857,0.577,0.194,0.376,0.380,0.736
BhcJRCZj,Median,1537,489,0.860,0.579,0.218,0.382,0.426,0.749
HjFSnMZX,Mean,1532,506,0.857,0.582,0.240,0.361,0.469,0.707
HjFSnMZX,Median,1535,508,0.859,0.586,0.258,0.400,0.506,0.783
3Kzdcmu6,Mean,1527,474,0.854,0.572,0.251,0.379,0.491,0.742
3Kzdcmu6,Median,1533,477,0.857,0.577,0.231,0.386,0.452,0.756
9oGWd4zH,Mean,1536,501,0.859,0.582,0.289,0.395,0.566,0.774
9oGWd4zH,Median,1535,502,0.859,0.582,0.308,0.414,0.603,0.811
7jY7xd3p,Mean,1530,492,0.856,0.578,0.248,0.363,0.486,0.711
7jY7xd3p,Median,1532,496,0.857,0.578,0.272,0.399,0.534,0.782
AKqgh6Bj,Mean,1533,487,0.857,0.577,0.250,0.369,0.490,0.722
AKqgh6Bj,Median,1535,494,0.859,0.576,0.277,0.387,0.542,0.758
3WXUuMwp,Mean,1532,497,0.857,0.580,0.222,0.392,0.436,0.767
3WXUuMwp,Median,1535,494,0.859,0.580,0.230,0.400,0.451,0.783
DzLjgYbB,Mean,1534,496,0.858,0.580,0.219,0.351,0.429,0.687
DzLjgYbB,Median,1537,493,0.860,0.578,0.242,0.387,0.474,0.758
2XmhZKHm,Mean,1536,485,0.860,0.578,0.231,0.347,0.451,0.680
2XmhZKHm,Median,1537,485,0.860,0.578,0.255,0.382,0.499,0.749
7ERj2iyV,Mean,1527,489,0.854,0.576,0.204,0.342,0.400,0.670
7ERj2iyV,Median,1529,486,0.855,0.576,0.214,0.371,0.420,0.727
STA5dMZH,Mean,1532,484,0.857,0.576,0.235,0.386,0.460,0.756
STA5dMZH,Median,1537,478,0.860,0.576,0.252,0.398,0.494,0.779
6xryev46,Mean,1531,489,0.857,0.577,0.244,0.355,0.477,0.694
6xryev46,Median,1534,492,0.858,0.579,0.248,0.378,0.486,0.741
4g35jkHb,Mean,1532,486,0.857,0.577,0.249,0.371,0.488,0.727
4g35jkHb,Median,1531,489,0.857,0.576,0.259,0.410,0.507,0.803
8gF1SHqf,Mean,1531,484,0.857,0.576,0.209,0.390,0.409,0.763
8gF1SHqf,Median,1536,485,0.859,0.576,0.194,0.406,0.379,0.796
HFTcVVrX,Mean,1531,478,0.856,0.574,0.235,0.354,0.460,0.694
HFTcVVrX,Median,1534,485,0.858,0.577,0.243,0.378,0.476,0.740
FSyAsxcE,Mean,1535,497,0.859,0.581,0.258,0.395,0.505,0.774
FSyAsxcE,Median,1535,494,0.859,0.579,0.272,0.405,0.532,0.794
AfyVjXLD,Mean,1534,499,0.858,0.581,0.225,0.366,0.441,0.716
AfyVjXLD,Median,1538,494,0.860,0.580,0.251,0.395,0.491,0.774
5Zaup4jL,Mean,1537,485,0.860,0.578,0.272,0.407,0.533,0.796
5Zaup4jL,Median,1543,498,0.863,0.582,0.260,0.413,0.510,0.808
9cSXriJF,Mean,1544,516,0.864,0.589,0.252,0.390,0.494,0.763
9cSXriJF,Median,1542,510,0.862,0.588,0.233,0.387,0.456,0.758
6bd9N5qT,Mean,1534,497,0.858,0.580,0.240,0.376,0.471,0.737
6bd9N5qT,Median,1532,500,0.857,0.582,0.255,0.396,0.499,0.775
HLv4d6uh,Mean,1537,492,0.860,0.580,0.229,0.368,0.448,0.721
HLv4d6uh,Median,1538,497,0.860,0.580,0.260,0.400,0.510,0.784
991g1j6j,Mean,1534,503,0.858,0.582,0.250,0.369,0.489,0.722
991g1j6j,Median,1532,507,0.857,0.584,0.245,0.368,0.479,0.721
8vwn3wRe,Mean,1532,492,0.857,0.578,0.261,0.374,0.511,0.732
8vwn3wRe,Median,1537,499,0.860,0.581,0.269,0.402,0.526,0.786
CLPTaHnc,Mean,1538,480,0.860,0.577,0.260,0.408,0.509,0.798
CLPTaHnc,Median,1537,477,0.860,0.575,0.284,0.412,0.557,0.808
J3q6kWN5,Mean,1529,486,0.856,0.576,0.281,0.385,0.550,0.755
J3q6kWN5,Median,1536,493,0.859,0.578,0.291,0.399,0.569,0.782
BKHfnywo,Mean,1531,492,0.856,0.578,0.249,0.379,0.488,0.743
BKHfnywo,Median,1531,490,0.857,0.580,0.251,0.389,0.491,0.762
hDwKSYB3,Mean,1527,489,0.854,0.576,0.209,0.372,0.409,0.729
hDwKSYB3,Median,1536,489,0.859,0.578,0.233,0.411,0.456,0.805
Dw7KnBH1,Mean,1539,493,0.861,0.580,0.232,0.394,0.454,0.772
Dw7KnBH1,Median,1542,499,0.862,0.581,0.229,0.394,0.449,0.772
zeiUD366,Mean,1534,493,0.858,0.579,0.224,0.361,0.438,0.707
zeiUD366,Median,1535,494,0.859,0.581,0.215,0.364,0.421,0.712
3BeharBd,Mean,1531,481,0.856,0.575,0.248,0.386,0.486,0.756
3BeharBd,Median,1536,482,0.859,0.574,0.262,0.407,0.512,0.797
AYNvSS5X,Mean,1535,501,0.859,0.582,0.208,0.346,0.408,0.677
AYNvSS5X,Median,1539,500,0.861,0.582,0.214,0.385,0.419,0.754
GpSBerAa,Mean,1535,489,0.859,0.578,0.244,0.379,0.478,0.743
GpSBerAa,Median,1537,495,0.860,0.578,0.243,0.403,0.477,0.789
AT87gxXL,Mean,1528,506,0.855,0.581,0.220,0.374,0.431,0.733
AT87gxXL,Median,1528,511,0.855,0.579,0.224,0.415,0.439,0.813
8iiLHGgC,Mean,1536,508,0.859,0.584,0.266,0.378,0.521,0.741
8iiLHGgC,Median,1535,510,0.859,0.584,0.283,0.400,0.555,0.784
6XjxbDk9,Mean,1531,481,0.856,0.575,0.247,0.380,0.484,0.744
6XjxbDk9,Median,1531,482,0.856,0.575,0.267,0.377,0.524,0.739
FZg9duNJ,Mean,1528,482,0.855,0.575,0.245,0.363,0.480,0.710
FZg9duNJ,Median,1537,489,0.860,0.575,0.246,0.382,0.481,0.748
BdoWLiPQ,Mean,1530,501,0.856,0.580,0.231,0.362,0.451,0.709
BdoWLiPQ,Median,1533,502,0.857,0.581,0.255,0.391,0.499,0.765
GVeC7F7H,Mean,1533,492,0.858,0.579,0.266,0.386,0.520,0.757
GVeC7F7H,Median,1535,485,0.859,0.577,0.272,0.397,0.532,0.777
B7yZkjiW,Mean,1534,496,0.858,0.580,0.194,0.359,0.380,0.703
B7yZkjiW,Median,1537,494,0.860,0.580,0.182,0.378,0.357,0.741
4pc3MP7V,Mean,1530,481,0.856,0.575,0.258,0.377,0.506,0.737
4pc3MP7V,Median,1534,483,0.858,0.575,0.251,0.398,0.491,0.780
AXhtto26,Mean,1532,495,0.857,0.579,0.242,0.381,0.473,0.745
AXhtto26,Median,1531,494,0.857,0.578,0.256,0.393,0.502,0.770
7Lp6sJYn,Mean,1542,505,0.862,0.585,0.251,0.377,0.491,0.738
7Lp6sJYn,Median,1542,502,0.862,0.584,0.267,0.396,0.523,0.776
H47hFQDB,Mean,1534,506,0.858,0.583,0.215,0.354,0.422,0.693
H47hFQDB,Median,1538,505,0.860,0.587,0.226,0.393,0.442,0.770
HbQwCgDv,Mean,1533,499,0.857,0.580,0.275,0.387,0.539,0.758
HbQwCgDv,Median,1539,498,0.861,0.582,0.280,0.407,0.549,0.797
27CnXybL,Mean,1426,455,0.798,0.538,0.247,0.363,0.484,0.711
27CnXybL,Median,1533,498,0.858,0.579,0.271,0.395,0.530,0.773
Gd33fENP,Mean,1540,497,0.861,0.582,0.266,0.402,0.520,0.788
Gd33fENP,Median,1542,484,0.862,0.578,0.273,0.408,0.534,0.799
8a5oKmUf,Mean,1534,504,0.858,0.582,0.124,0.320,0.243,0.627
8a5oKmUf,Median,1530,500,0.856,0.579,0.125,0.402,0.246,0.787
GtpcBib8,Mean,1535,488,0.859,0.578,0.237,0.384,0.464,0.751
GtpcBib8,Median,1534,495,0.858,0.580,0.224,0.385,0.438,0.755
92VEPQZ6,Mean,1535,491,0.859,0.579,0.235,0.391,0.460,0.766
92VEPQZ6,Median,1536,496,0.859,0.578,0.271,0.414,0.530,0.810
AxUSumtH,Mean,1530,483,0.856,0.575,0.255,0.387,0.500,0.759
AxUSumtH,Median,1534,480,0.858,0.576,0.263,0.401,0.515,0.786
CtvdyHYt,Mean,1536,488,0.859,0.579,0.244,0.379,0.478,0.742
CtvdyHYt,Median,1537,498,0.860,0.579,0.266,0.397,0.521,0.778
8vvCiFNb,Mean,1535,489,0.859,0.578,0.263,0.399,0.514,0.780
8vvCiFNb,Median,1534,488,0.858,0.578,0.296,0.418,0.581,0.818
